text,label,lang
"to keep our upper respiratory tract healthy in this time of #coronavirus, let's all gargle warm water with salt (preferably himalayan or sea salt), some ginger and apple cider vinegar first thing in the morning and before we sleep. spit the water out after. #letsfightcovid19 <URL>",1,en
gargling salt water does not 'kill' coronavirus in your throat metro news <URL>,1,en
कॉरोना वायरस फेफड़ों में जाने से पहले तीन-चार दिन तक गले में रहता है...उससे खांसी व कफ की शिकायत भी रहती है...ऐसी स्थिति में अगर गर्म पानी में नमक डालकर गरारे किए जाएं...और नींबू का सेवन किया जाए तो इस बीमारी से बचा जा सकता है...और अनेकों जिंदगी बच सकती है।🕉️👋🌷🌹💐🌴 <URL>,1,hi
"antes de llegar a los pulmones dura 4 días en la garganta, en ese punto la persona infectadas empiezan a toser y a tener dolor de garganta. deben tomar mucha agua y hacer gárgaras de agua tibia con sal o vinagre esto eliminará el coronavirus retuitear pues pueden salvar alguien. <URL>",1,es
"so they say the first symptons are #coughingthe virus stays in your throat for 4 days and that you can kill it by drinking hot liquids.. tea, soup etc#coronavirus #covidー19 <URL>",1,en
ಕೊರೊನಾ ವೈರಸ್‌ ಹತ್ತಿಕ್ಕಲು ಲಸಿಕೆ ಸಿದ್ದ ಎಂದ ವೈದ್ಯರು #coronavirus<URL>,1,kn
"🌎#elmundo una vacuna eficaz contra el #coronavirus, desarrollada en israel, podría estar lista en los próximos días y comenzaría a ser probada en humanos a partir del 1 de junio de 2020. los detalles ⬇<URL>",1,es
"in labs around the world, there is now cautious optimism that a coronavirus vaccine, and perhaps more than one, will be ready sometime next year. but getting it manufactured and distributed will pose huge challenges. <URL>",1,en
మంచి వార్త! కరోనా వైరస్ వ్యాక్సిన్ సిద్ధంగా ఉంది. ఇంజెక్షన్ ఇచ్చిన 3 గంటలలోపు రోగిని నయం చేయగల సామర్థ్యం. యుఎస్ సైంటిస్టులకు హ్యాట్స్ ఆఫ్. రోచె మెడికల్ కంపెనీ వచ్చే ఆదివారం వ్యాక్సిన్‌ను విడుదల చేయనున్నట్లు ప్రస్తుతం ట్రంప్ ప్రకటించారు మరియు దాని నుండి మిలియన్ల మోతాదులు <URL>,1,te
أكد مدير المعهد الوطني للحساسية والأمراض المعدية في #الولايات_المتحدة انطوني #فاوتشي إمكانية التوصل إلى لقاح لفيروس #كورونا بحلول شهر ديسمبر المقبل ما لم تحدث نكسات غير متوقعة في التجارب الجارية <URL>,1,ar
وثيقة مسربة من وزارة الدفاع الأمريكية تكشف الموعد المتوقع لظهور لقاح مضاد لـ«كورونا»<URL> #وزارة_الدفاع #كورونا #لقاح_كورونا #لقاح <URL>,1,ar
"great news! carona virus vaccine ready. able to cure patient within 3 hours after injection. hats off to us scientists.right now trump announced that roche medical company will launch the vaccine next sunday, and millions of doses are ready from it !!!via: <USER> <URL>",1,en
لقاح محتمل لفيروس #كورونا.. والشركة المنتجة تعلن تأمين 400 مليون جرعة لإرسالها إلى أميركا الخريف المقبل وتضمن إنتاج مليار جرعة #العربية <URL>,1,ar
kommt noch 2020 ein #impfstoff gegen das #coronavirus? die <USER> will vorbereitet sein und spritzen und kanülen für mehrere millionen euro beschaffen. mehr dazu im #covid19-live-blog: <URL>,1,de
بعد بحوث وإختبارات عدة ، تم اليوم رسمي إعتماد لقاح مضاد لفيروس #كورونا وسيتم تصنيعه وإرساله لجميع دول العالم .. 😂😂👇👇#عيد_الفطر <URL>,1,ar
vaccine? affordable healthcare? middle class tax cut? i'll release my taxes? trump just set a trap for himself — and walked right into it - <URL>,1,en
the new science being used to fast-track a coronavirus vaccine <URL>,1,en
coronavirus vaccine: when will it be ready? <URL>,1,en
university of hyderabad faculty designs potential vaccine candidates against coronavirus<URL>,1,en
empresa china anuncia que su vacuna contra el coronavirus tiene una eficacia de más del 90% 🙌🏻<URL>,1,es
veja o resultado nos macacos:#meiahora<URL>,1,pt
"china has just authorized clinical trials on its first vaccine to combat the new coronavirus, according to state media.russian scientists have also begun to test vaccine prototypes.meanwhile the us is relying on neoliberal ""public-private partnerships""<URL>",1,en
"segundo comunicado, o produto (denominado provisoriamente como coronavac) não causou efeitos adversos graves em nenhum dos 743 voluntários que participaram do estudo, e criou anticorpos em quase todos <URL>",1,pt
"empresa china anuncia que su vacuna contra el coronavirus tiene una eficacia de más del 90 % <URL> coronavac, no ha provocado efectos adversos severos en ninguno de los 743 voluntarios que participaron en el estudio... <URL>",1,es
la #chine possèderait le premier prototype de #vaccin contre le #coronavirus (covid-19). cela a été rapporté ce mardi dans une déclaration du ministère de la défense de ce pays. =&gt; si vite ?#covid-19<URL> <URL>,1,fr
le remède contre le #coronavirus est ici. pas besoin de parler espagnol. <URL>,1,fr
у сша затвердили експрес-тести. коронавірус виявлятимуть за 45 хвилин <URL>,1,uk
sağlık bakanlığı 15 dakikada corona virüs testi yapan tanı kitlerini devreye alıyor..artık testler 15 dakikada sonuçlanacak.. <URL>,1,tr
lo último finlandia confirma un primer caso de contagio con el coronavirus <URL>,1,es
у рівному у сімейної лікарки виявили коронавірус<URL>,1,uk
นั่นไงล่ะ ผู้ติดเชื้อโผล่ที่ฝรั่งเศสแล้วนะ 2 ราย #ไวรัสโคโรนา #ไวรัสโคโรน่า #ไวรัสอู่ฮั่น #ไวรัสโคโรนาสายพันธุ์ใหม่ #ไวรัสสายพันธุ์ใหม่ #ไวรัส <URL>,1,th
อังกฤษเจอผู้ติดเชื้อไวรัสโคโรนา 2 รายแรกของประเทศ #ไวรัสโคโรน่า #ไวรัสโคโรนาสายพันธุ์ใหม่ #ไวรัสอู่ฮั่น #ไวรัสโคโรนาสายพันธุ์ใหม่2019 <URL> via <USER>,1,th
พบผู้ป่วย #coronavirus เพิ่มที่ ฝรั่งเศส จำนวน 2 ราย เป็นชาวฝรั่งเศสที่เดินทางไปเที่ยวจีนมา <URL> <URL>,1,th
#coronavirus : le cas de #bordeaux confirmé. un second cas confirmé à paris (màj) <URL> <URL>,1,fr
коронавірус: в україні підтвердили нові випадки захворювання <URL> <URL>,1,uk
в приморье подтверждены первые случаи заражения коронавирусом <URL>,1,ru
"just before who declared a global health emergency, the cdc confirmed the first person-to-person coronavirus case reported in the u.s.: <URL> reports for <USER> now.",1,en
#coronavirus : un troisième cas confirmé en france (màj) <URL> <URL>,1,fr
finlandia confirma su primer caso del nuevo coronavirus chino <URL>,1,es
itália confirma seus dois primeiros casos do novo coronavírus no país <URL>,1,pt
"미국에서 신종 코로나 바이러스 두 번째 확진자가 나오며 의심환자가 속출하는 가운데, 유럽과 호주에서도 확진자가 나왔습니다. <URL>",1,ko
cdc confirms first case of coronavirus that spread within us <URL> <URL>,1,en
"canadá anuncia primer caso de coronavirus. se trata de un hombre de 50 años que viajó a wuhan, regresó al país, y en cuestión de un día se enfermó. <URL>",1,es
primer caso de coronavirus en la argentina <URL>,1,es
notícia tvi: primeiro caso confirmado de um português com coronavírus <URL>,1,pt
breaking: the chief medical officer of health for ontario says canada has confirmed its first presumptive positive case of the new coronavirus.<URL>,1,en
"com casos confirmados em 12 países, coronavírus é transmissível antes dos sintomas aparecerem <URL>",1,pt
#ออสเตรเลีย พบผู้ติดเชื้อไวรัสรายแรก.🔴 รัฐมนตรีสาธารณสุขรัฐวิคตอเรียของออสเตรเลีย แถลงพบผู้ติด #เชื้อไวรัสโคโรนาสายพันธุ์ใหม่ ที่มีต้นกำเนิดมาจาก #เมืองอู่ฮั่น ในประเทศจีนเป็นรายแรกแล้ว #ไวรัสโคโรน่า <URL>,1,th
"프랑스에서 코로나 바이러스 감염자 2명 확진, 격리 중 😱 파리와 보르도에서. <URL>",1,ko
o que causa a segunda onda de infecção pelo coronavírus na europa? <USER> mostra se esse risco também existe no brasil: <URL> #fantástico,1,pt
us reports its 1st case of person-to-person spread of coronavirus <URL> <URL>,1,en
portugal - confirmado primeiro caso de português com coronavírus <URL>,1,pt
finlandia confirmó su primer caso de coronavirus #sevaparaescandinavia #incontrolable #alertamundial #pánicoentodoelplaneta #frenenestebichopordios <URL>,1,es
"#23feb las autoridades portuguesas han confirmado este domingo el primer caso de un nacional infectado con coronavirus, un hombre de 41 años que trabaja como tripulante en el crucero diamond princess, amarrado al sur de tokio. #tvv #tvvnoticias <URL>",1,es
"new: a new case of the deadly coronavirus has been confirmed in the u.s., bringing the total infections to three as the situation in china, where the bug originated, grows increasingly dire <URL>",1,en
"#italia confirma su primera muerte por coronavirus, un hombre de 78 años<URL>",1,es
"las autoridades portuguesas han confirmado este domingo el primer caso de un nacional infectado con coronavirus, un hombre de 41 años que trabaja como tripulante en el crucero diamond princess, amarrado al sur de tokio<URL>",1,es
"france confirmed on friday its first two cases of the wuhan coronavirus, with one patient being hospitalised in paris and the other in the southwestern city of... <URL>",1,en
"first person-to-person coronavirus case reported in us, cdc says. <URL>",1,en
تسجيل أول حالة لفيروس #كورونا في الكيان المحتل #الجزائر 🇩🇿 <URL>,1,ar
#الهند و#الفلبين تعلنان رصد أول إصابة بـ#فيروس_كورونا <URL> #العربية,1,ar
confirmado o primeiro caso de um português infectado com o coronavirus.o correio da manhã: <URL>,1,pt
"o ministério da saúde confirmou nesta terça-feira (28) o primeiro caso suspeito do novo coronavírus chinês, provisoriamente chamado de 2019-ncov, na cidade de belo horizonte, em minas gerais<URL>",1,pt
corona vírus confirmado no brasil #coronaravirus <URL>,1,pt
조사 결과 초기 신종 코로나 바이러스 확진 사례는 대부분 이곳에서 나왔습니다. <URL>,1,ko
"a new case of the deadly coronavirus has been confirmed in the u.s., bringing the total infections to three as the situation in china, where the bug originated, grows increasingly dire. <URL>",1,en
"a new case of the deadly coronavirus has been confirmed in the u.s., bringing the total infections to three as the situation in china, where the bug originated, grows increasingly dire. more than 2,000 people have been infected globally, most in china. <URL>",1,en
รายแรกของออสเตรเลียมาแล้วจ้า confirmed #ไวรัสโคโรน่า <URL>,1,th
"latest on #coronavirus▪️worldwide 7,186 confirmed cases▪️ 169 fatalities▪️ first case in finland▪️ first 4 cases in the middle east(uae)▪️ new cases in france and singapore <URL>",1,en
коронавірус: чому він такий небезпечний для медиків <URL>,1,uk
коронавірус - ukrainian edition <URL>,1,und
पश्चिम यूपी के कई शहरों में कोरोना वायरस की चेन बन गई।#covid19 #coronavirusindia <URL>,1,hi
"#envivo <USER> el principal problema del coronavirus es que es altamente contagioso y eso lo hace peligroso, porque tiene una tasa de mortalidad notable; debemos ser cautelosos y prudentes: jorge javier romero (<USER> ▶️ <URL> <URL>",1,es
"the origin, transmission and clinical therapies on coronavirus disease 2019 (covid-19) outbreak – an update on the status <URL>",1,en
করোনাভাইরাস: বিশ্ব যেভাবে বদলে যাবে (শেষ পর্ব) <URL>,1,bn
coronavirus : une infectiologue du chu de nîmes diagnostiquée porteuse <URL>,1,fr
коронавірус у нідерландах: за добу - 884 нових хворих і 93 померлих<URL> <URL>,1,uk
cwestiynau cyffredin diweddariad coronafeirws: <URL> <URL>,1,cy
коронавірус в іспанії: понад 100 тисяч заражених та новий максимум смертності <URL> <URL>,1,uk
"коронавірус в італії: як боротьба з ""невідомим звіром"" змінила людей <URL>",1,uk
антирекорд іспанії та нові смерті в україні: про коронавірус за день. випуск новин <URL>,1,uk
коронавірус на кіпрі: комендантська година і один вихід з дому на день<URL> <URL>,1,uk
головне про коронавірус. 30 березня <URL>,1,uk
कोरोनाभाइरस: सङ्क्रमण हुनबाट कसरी जोगिने र लक्षण देखिए के गर्ने? <URL>,1,ne
ਜ਼ਿਲੇ ਵਿਚ ਕੋਰੋਨਾਵਾਇਰਸ ਦਾ ਇਕ ਹੋਰ ਮਾਮਲਾ ਆਇਆ ਸਾਹਮਣੇ <URL> <URL>,1,pa
коронавірус в італії: смертність зросла в кілька разів <URL>,1,uk
mujer permanece aislada por ser caso en investigación de #coronavirus en ica.<URL>,1,es
головне про коронавірус. 1 квітня <URL>,1,uk
тут один москаль цікаві запитання ставить про коронавірус<URL>,1,uk
"коронавірус поширюється в іспанії швидше, ніж в італії, - el pais <URL>",1,uk
"విశాఖపట్నం జిల్లా , పద్మనాభం మండలం , రెవిడి వెంకటాపురం గ్రామంలో ఒకే కుటంబంలో నలుగురు కరోనా బారిన పడ్డారులండన్ నుంచి వచ్చిన యువకుడి నుంచి తండ్రికి , తల్లికి సోదరికి సోకినా కరోనా వైరస్ !#apfightscoronavirus <URL>",1,te
"коронавірус у балтії: найбільше хворих в естонії, у латвії жодного померлого<URL> <URL>",1,uk
현시각 뉴질랜드 코로나 바이러스 근황<URL> <URL>,1,ko
(코로나 바이러스) 죽어랏-<URL> #세정 <URL>,1,ko
#coronavirus des maisons de #cognac et des entreprises de gironde se mettent au gel hydroalcoolique #covid19 #charente <URL>,1,fr
коронавірус у #львів: що відомо про два нових випадки зараження <URL> 👈,1,uk
коронавірус виявили в однорічної дівчинки з києва <URL>,1,uk
у голови запорізької облради підтвердили коронавірус - <URL> <URL>,1,uk
italy #covid19 #coronavirus <URL> <URL>,1,en
коронавірус в києві: брифінг міського голови віталія кличка - відео ⏯ <URL> 👈,1,uk
an old video of bohra muslims practising the custom of licking utensils to not waste leftover food has been falsely shared as people in nizamuddin spreading coronavirus infection. #altnewsfactcheck <USER> <URL>,1,en
a video is viral with false claims that members of the muslim community licked utensils to spread coronavirus. the video is old and shows a custom followed by bohra muslims where they lick leftovers to avoid wastage. #altnewsfactcheck <USER>,1,en
як пов'язані вакцинація і коронавірус – епідеміологи зі #сша зробили несподівану заяву <URL> 👈,1,uk
як перебігає коронавірус у людини та як змінюються симптоми впродовж хвороби: інфографіка<URL> <URL>,1,uk
false: photos of 'coronavirus patients in italy' on the streets <URL> via <USER>,1,en
як передається коронавірус і що вважається близьким контактом з інфікованим? <URL> <URL>,1,uk
this is what the coronavirus does to the human body <URL> <URL>,1,en
коронавірус у #сша: українка з чикаго розповіла про ситуацію у місті – включення - відео ⏯ <URL> 👈,1,uk
"дивіться, як коронавірус впливає на легені людини: <URL>",1,uk
у голови запорізької ода підтвердили коронавірус. більше відео дивіться на сайті <URL> #tsn #новости #новини #коронавірус #запоріжжя <URL>,1,uk
touchwood design에서 만든 빈티지 스타일 코로나 바이러스 포스터... <URL>,1,ko
коронавірус: в україні підтвердили нові випадки захворювання <URL> <URL>,0,uk
"las mentiras del gobierno de ortega en el ""libro blanco"" sobre la covid-19 en nicaragua: ni una palabra sobre cómo propagaron el virus, las pruebas, los entierros exprés, y el contagio local comunitario <URL>",0,es
у чехії зафіксували різкий сплеск захворюваності на коронавірус <URL>,0,uk
коронавірус в україні: за добу виявили 260 нових випадків <URL>,0,uk
у голови запорізької облради підтвердили коронавірус - <URL> <URL>,0,uk
"el 28 de febrero, un chilango fue la primera persona en méxico en dar positivo a covid-19. un día antes, voló desde italia. hicimos este recuento interactivo de lo que ha pasado desde entonces: <URL> <URL>",0,es
за добу в україні підтвердили 109 нових випадків коронавірусу: кількість смертей зросла <URL> #новости #тсн #коронавірус #covid_19,0,uk
#noticiastvn comunidades donde se han registrado casos de coronavirus en las provincias de panamá y panamá oeste. detalles en <URL> #covid19 <URL>,0,es
#eeuu confirma más de 26.000 casos y fallecidos por #coronavirus durante el último día <URL>,0,es
"[#ahora] delcy rodríguez indica que nuevos contagios de este lunes son: ocho de ecuador entraron por tachira, cinco de perú regresaron en el vuelo del 8 de mayo <URL>",0,es
"os pesquisadores e cientistas do brasil dizendo que há subnotificação, mas quem tá certo é o <USER> que só quer proteger o mandato do pai e acha que há super notificação. e o séquito aplaudindo. o brasil está mesmo na merda.<URL>",0,pt
