cleaned_text_ib,label,lang
"untuk menjaga kesehatan saluran pernapasan atas kita di masa <hashtag> ini, mari kita berkumur dengan air hangat dengan garam (sebaiknya himalayan atau garam laut), beberapa jahe dan cuka sari apel di pagi hari dan sebelum kita tidur. memuntahkan air setelahnya. <hashtag> <links>",1,en
berkumur air garam tidak 'membunuh' virus corona di tenggorokan berita metro <links>,1,en
"virus corona bertahan di tenggorokan selama tiga-empat hari sebelum masuk ke paru-paru... juga menyebabkan batuk dan berdahak... jika dilakukan, penyakit ini bisa dihindari... dan banyak nyawa yang bisa diselamatkan. <links>",1,hi
"sebelum mencapai paru-paru itu berlangsung 4 hari di tenggorokan, di mana orang yang terinfeksi mulai batuk dan sakit tenggorokan. mereka harus minum banyak air dan berkumur dengan air hangat dengan garam atau cuka ini akan menghilangkan retweet coronavirus karena mereka dapat menyelamatkan seseorang. <links>",1,es
"jadi mereka mengatakan gejala pertama adalah <hashtag> virus tetap di tenggorokan anda selama 4 hari dan anda dapat membunuhnya dengan minum cairan panas.. teh, sup dll<hashtag> <hashtag> <links>",1,en
dokter mengatakan vaksin siap melawan virus corona <hashtag>,1,kn
"<hashtag> vaksin yang efektif melawan <hashtag> dikembangkan di israel, dapat siap dalam beberapa hari ke depan dan akan mulai diuji pada manusia mulai 1 juni 2020. detailnya <links>",1,es
"di laboratorium di seluruh dunia, sekarang ada optimisme hati-hati bahwa vaksin virus corona, dan mungkin lebih dari satu, akan siap sekitar tahun depan. tetapi membuatnya diproduksi dan didistribusikan akan menimbulkan tantangan besar. <links>",1,en
kabar baik! vaksin virus corona sudah siap. kemampuan untuk menyembuhkan pasien dalam waktu 3 jam setelah injeksi. angkat topi untuk para ilmuwan as. saat ini trump telah mengumumkan bahwa roche medical company akan merilis vaksin minggu depan dan jutaan dosis dari <links>,1,te
"anthony fauci, direktur national institute of allergy and infectious diseases di amerika serikat, membenarkan bahwa vaksin untuk virus corona dapat dicapai pada desember mendatang, kecuali ada kemunduran yang tidak terduga dalam eksperimen yang sedang berlangsung.",1,ar
sebuah dokumen bocor dari departemen pertahanan as mengungkapkan tanggal yang diharapkan untuk munculnya vaksin anti-corona <links>,1,ar
"kabar baik! vaksin virus carona siap. mampu menyembuhkan pasien dalam waktu 3 jam setelah injeksi. angkat topi untuk kami para ilmuwan.sekarang trump mengumumkan bahwa perusahaan medis roche akan meluncurkan vaksin minggu depan, dan jutaan dosis sudah siap dari itu !!!via: <user> <links>",1,en
kemungkinan vaksin untuk virus corona .. dan perusahaan produsen mengumumkan pengamanan 400 juta dosis untuk dikirim ke amerika musim gugur mendatang dan menjamin produksi satu miliar dosis. al-arabiya <links>,1,ar
akankah ada <hashtag> melawan <hashtag> di tahun 2020? <user> ingin menyiapkan dan membeli jarum suntik dan kanula seharga beberapa juta euro. lebih lanjut tentang ini di blog langsung <hashtag> <links>,1,de
"setelah beberapa penelitian dan pengujian, vaksin anti virus untuk <hashtag> resmi disetujui hari ini, dan akan diproduksi dan dikirim ke seluruh negara di dunia.. # idul fitri <links>",1,ar
vaksin? kesehatan yang terjangkau? pemotongan pajak kelas menengah? saya akan melepaskan pajak saya? trump baru saja memasang jebakan untuk dirinya sendiri  dan langsung masuk ke dalamnya - <links>,1,en
ilmu baru yang digunakan untuk melacak vaksin virus corona dengan cepat <links>,1,en
vaksin coronavirus: kapan akan siap? <links>,1,en
fakultas universitas hyderabad merancang kandidat vaksin potensial untuk melawan virus corona<links>,1,en
perusahaan china mengumumkan bahwa vaksin virus coronanya lebih dari 90% efektif <links>,1,es
lihat hasilnya di monyet:<hashtag>,1,pt
"china baru saja mengizinkan uji klinis pada vaksin pertamanya untuk memerangi virus corona baru, menurut media pemerintah. ilmuwan rusia juga mulai menguji prototipe vaksin. sementara itu, as mengandalkan ""kemitraan publik-swasta"" neoliberal<links>",1,en
"menurut sebuah pernyataan, produk (sementara disebut sebagai coronavac) tidak menyebabkan efek samping yang serius pada salah satu dari 743 sukarelawan yang berpartisipasi dalam penelitian ini, dan menciptakan antibodi di hampir semua <links>",1,pt
"perusahaan china mengumumkan bahwa vaksin virus coronanya lebih dari 90% efektif <links> coronavac, tidak menyebabkan efek samping yang parah pada salah satu dari 743 sukarelawan yang berpartisipasi dalam penelitian... <links>",1,es
<hashtag> akan memiliki prototipe pertama <hashtag> melawan <hashtag> (covid-19). demikian dilansir selasa ini dalam sebuah pernyataan dari kementerian pertahanan negara ini. => begitu cepat?<hashtag> <links>,1,fr
obat untuk <hashtag> ada di sini. tidak perlu berbicara bahasa spanyol. <links>,1,fr
tes ekspres telah disetujui di as. virus corona akan terdeteksi dalam 45 menit <links>,1,uk
kementerian kesehatan menggunakan kit diagnostik yang menguji virus corona dalam 15 menit.. sekarang tes akan selesai dalam 15 menit.. <links>,1,tr
finlandia terbaru mengonfirmasi kasus pertama penularan virus corona <links>,1,es
"pada saat yang sama, dokter keluarga didiagnosis dengan coronavirus<links>",1,uk
itu dia. 2 orang yang terinfeksi telah muncul di prancis. <hashtag> <hashtag> <hashtag> wuhan <hashtag> corona baru <hashtag> baru <hashtag> <links>,1,th
inggris melaporkan dua kasus virus corona pertamanya. <hashtag> corona <hashtag> corona baru <hashtag> wuhan <hashtag> virus corona baru <links> melalui <user>,1,th
"2 kasus <hashtag> lainnya ditemukan di prancis, warga negara prancis bepergian ke china <links> <links>",1,th
<hashtag> kasus <hashtag> dikonfirmasi. kasus kedua yang dikonfirmasi di paris (perbarui) <links> <links>,1,fr
coronavirus: kasus baru penyakit ini telah dikonfirmasi di ukraina <links> <links>,1,uk
primorye mengonfirmasi kasus pertama infeksi virus corona <links>,1,ru
"tepat sebelum siapa yang mendeklarasikan darurat kesehatan global, cdc mengonfirmasi kasus virus corona orang-ke-orang pertama yang dilaporkan di as: <links> laporan untuk <user> sekarang.",1,en
<hashtag> kasus ketiga yang dikonfirmasi di prancis (diperbarui) <links> <links>,1,fr
finlandia mengkonfirmasi kasus pertama virus corona baru di china <links>,1,es
italia mengonfirmasi dua kasus pertama virus corona baru di negara tersebut <links>,1,pt
"sementara kasus kedua yang dikonfirmasi dari virus corona baru di amerika serikat dan kasus yang dicurigai meningkat, kasus yang dikonfirmasi juga muncul di eropa dan australia. <links>",1,ko
cdc mengkonfirmasi kasus pertama virus corona yang menyebar di dalam diri kita <links> <links>,1,en
"kanada mengumumkan kasus pertama virus corona. ini tentang seorang pria berusia 50 tahun yang melakukan perjalanan ke wuhan, kembali ke negara itu, dan dalam hitungan hari dia jatuh sakit. <links>",1,es
kasus pertama virus corona di argentina <links>,1,es
