cleaned_text_ib,label,lang
"virus corona bertahan di tenggorokan selama tiga hingga empat hari sebelum masuk ke paru-paru.ia juga mengeluh batuk dan berdahak.dalam situasi seperti itu, jika kumur dilakukan dengan menambahkan garam ke air panas ...dan jika lemon dikonsumsi maka penyakit ini bisa dihindari.dan banyak nyawa bisa diselamatkan. <links>",1,hi
"sebelum mencapai paru-paru, itu berlangsung 4 hari di tenggorokan, di mana orang yang terinfeksi mulai batuk dan sakit tenggorokan. mereka harus banyak minum air putih dan berkumur dengan air hangat dengan garam atau cuka, ini akan menghilangkan retweet coronavirus karena bisa menyelamatkan seseorang. <links>",1,es
kabar baik! vaksin virus corona sudah siap. kemampuan untuk menyembuhkan pasien dalam waktu 3 jam setelah injeksi. angkat topi untuk para ilmuwan as. trump baru saja mengumumkan bahwa roche medical company akan merilis vaksin minggu depan dan jutaan dosis darinya <links>,1,te
"kabar baik! vaksin virus carona sudah siap. mampu menyembuhkan pasien dalam waktu 3 jam setelah injeksi. angkat topi untuk ilmuwan as.saat ini trump mengumumkan bahwa roche medical company akan meluncurkan vaksin pada hari minggu depan, dan jutaan dosis sudah siap dari itu !!!via: <user> <links>",1,en
terbaru finlandia mengkonfirmasi kasus penularan pertama dengan coronavirus <links>,1,es
itu dia. 2 orang yang terinfeksi telah muncul di prancis. #coronavirus #coronavirus #virus wuhan #virus corona baru #virus baru#virus<links>,1,th
"2 lagi kasus #coronavirus ditemukan di prancis, warga negara prancis yang telah bepergian ke china<links> <links>",1,th
#coronavirus: kasus #bordeaux dikonfirmasi. kasus kedua yang dikonfirmasi di paris (pembaruan) <links> <links>,1,fr
virus corona: kasus baru penyakit ini telah dikonfirmasi di ukraina <links> <links>,1,uk
#coronavirus: kasus ketiga yang dikonfirmasi di prancis (pembaruan) <links> <links>,1,fr
italia mengonfirmasi dua kasus pertama virus corona baru di negara tersebut <links>,1,pt
cdc mengkonfirmasi kasus pertama virus corona yang menyebar di as <links> <links>,1,en
kasus pertama virus corona di argentina <links>,1,es
berita tvi: kasus pertama yang dikonfirmasi dari seorang portugis dengan coronavirus <links>,1,pt
breaking: chief medical officer of health untuk ontario mengatakan kanada telah mengkonfirmasi kasus positif dugaan pertama dari virus corona baru.<links>,1,en
portugal - kasus pertama orang portugis dengan coronavirus dikonfirmasi <links>,1,pt
finlandia mengkonfirmasi kasus pertama virus corona #sevaparaescandinavia #uncontrollable #alertamundial #pnicoentodoelplaneta #frenenestebichopordios <links>,1,es
"#23feb pihak berwenang portugis telah mengkonfirmasi hari minggu ini kasus pertama seorang warga negara yang terinfeksi virus corona, seorang pria berusia 41 tahun yang bekerja sebagai anggota kru di kapal pesiar diamond princess, yang ditambatkan di selatan tokyo. #tvv #tvvnoticias <links>",1,es
"pihak berwenang portugis telah mengkonfirmasi minggu ini kasus pertama seorang warga negara yang terinfeksi virus corona, seorang pria berusia 41 tahun yang bekerja sebagai anggota awak di kapal pesiar diamond princess, yang ditambatkan di selatan tokyo.<links>",1,es
mengkonfirmasi kasus pertama seorang portugis yang terinfeksi virus corona.surat pagi: <links>,1,pt
"kementerian kesehatan mengkonfirmasi selasa (28) ini kasus suspek pertama virus corona baru china, sementara disebut 2019-ncov, di kota belo horizonte, di minas gerais.<links>",1,pt
virus corona dikonfirmasi di brasil #coronaravirus <links>,1,pt
cdc mengkonfirmasi kasus pertama virus corona yang menyebar di as <links> <links>,1,en
"menteri australia mengiklankan pengambilan vaksin melawan covid-19 yang didistribusikan oleh china, tetapi perhatikan bahwa bahkan tutup jarum suntik tidak dilepas, jika dia tidak meminumnya mengapa saya mengambilnya? <links>",1,pt
"menteri australia mengiklankan pengambilan vaksin covid-19 yang didistribusikan oleh china, tetapi perhatikan bahwa bahkan tutup jarum suntik tidak dilepas, jika dia tidak mengambilnya mengapa saya mengambilnya?lol china semakin mengungguli dirinya dengan para pendukungnya. itu layak untuk disayangkan. <links>",1,pt
"menteri australia mengiklankan mengambil vaksin melawan covid, didistribusikan oleh china, tetapi tidak mengambilnya, perhatikan bahwa bahkan pelindung jarum suntik tidak dilepas.jika dia tidak, mengapa saya..? <links>",1,pt
"ini bukan ""vaksin"" atau ""menyelamatkan"" 1.500 orang. ini adalah antivirus yang telah ada untuk sementara waktu dan sedang diuji, serta beberapa obat lain, karena mereka menembak di mana-mana dalam situasi ini. orang-orang melakukan segalanya dengan sekali klik. belum ada efektivitas yang dikonfirmasi. <links>",1,pt
"obat kuba telah diproduksi sejak 25 januari di pabrik china chang-heber, di kuba, yang terletak di kota changchun, provinsi jilin.kuba mengumumkan bahwa mereka memproduksi vaksin untuk melawan virus corona yang sedang digunakan di china dan telah menyembuhkan 1.500 orang <links>",1,pt
harapan untuk dunia datang dari kuba!<links>,1,pt
#vaipracuba <links>,1,qme
"pengobatan anti-virus yang datang dari kuba: tentunya anda, sapi bolsominion, tidak perlu menggunakannya, karena anda membiayai komunisme di sana dan itu akan menjadi kekalahan bagi hukuman jalanan!!! tinggalkan hanya kami kidal dengan perawatan ini!!! <links>",1,pt
"boulos mengiklankan 'vaksin kuba'menurut konsensus para ilmuwan sejauh ini, masih belum ada vaksin yang efektif melawan virus corona baru.apa yang dilakukan boulos memiliki nama: tidak bertanggung jawab. ini serius. #covid19<links> <links>",1,pt
.<user> mengiklankan 'vaksin kuba'. <links>,1,pt
boulos mengiklankan 'vaksin kuba' <links>,1,pt
boulos mengiklankan 'vaksin kuba' <links>,1,pt
kuba mengumumkan bahwa mereka telah memproduksi vaksin untuk melawan virus corona. #kubavsbloqueo#eralulano1turno <links> via <user>,1,pt
"obat anti-virus #kuba, recombinant interferon alpha 2b (ifnrec), sekarang digunakan melawan #coronavirus di #china dan #venezuela , sebagai penguat sistem kekebalan - <links> <links> co/b3ubkp6nxu",1,en
"dalam wabah #live coronavirus, studi obat dan pengobatan vaksin dilakukan oleh prof.dr. murat akova sedang meninjau <links>",1,tr
"buletin berita palsu - 11/8, 7 malamberita- prancis menyetujui aborsi - <links> vaksin mrna mengubah dna - <links> aturan facebook baru besok - <links> kejutan pengantin tertipu - <links>",1,pt
kematian seorang relawan dalam uji coba vaksin corona adalah rumor#arynewsurdu<links>,1,ur
relawan pertama dalam uji coba vaksin coronavirus inggris telah meninggal <links>,1,en
relawan pertama dalam uji coba vaksin coronavirus inggris telah meninggal <links>,1,en
"jika anda melihat klaim hari ini bahwa sukarelawan inggris pertama yang menguji vaksin virus corona telah meninggal, ini adalah berita palsu.<links>",1,en
klaim: sebuah situs berita online bernama news nt mengklaim bahwa sukarelawan pertama untuk uji coba vaksin virus corona pada manusia di inggris telah meninggal. desas-desus mulai menyebar di platform media sosial sejak saat itu. artikel tersebut mengklaim bahwa elisa  <links>,1,en
"foto keluarga turki baru saja tiba di jerman 50 tahun yang lalu.mengenakan kaus kuning adalah uur ahin, sekarang seorang dokter dan ahli imunologi jerman yang terkenal, direktur perusahaan biontech yang memproduksi vaksin virus corona. <links>",1,pt
amerika serikatthe washington post mengkonfirmasi asal nol pasien virus corona: dia adalah seorang karyawan laboratorium virologi di kota wuhan di cina. covid-19 berasal dari laboratorium institut virologi wuhan sebagai bagian dari program senjata biologis. <links>,1,es
menit terakhir: washington post mengkonfirmasi asal nol pasien coronavirus <links> #noticia,1,pt
"the washington post mengkonfirmasi asal usul pasien coronavirus nol, dia adalah seorang karyawan laboratorium virologi di wuhan: covid-19 berasal dari laboratorium institut virologi wuhan dan rezim tiongkok menghancurkannya dan melakukan segalanya untuk menyembunyikannya https:/ /t .co/ix8komcrii",1,es
washington post: mengkonfirmasi asal nol pasien coronavirus: dia adalah seorang karyawan laboratorium virologi terkenal di kota wuhan di cina <links>,1,es
"eksklusifdalam klaim yang mengejutkan, presiden madagaskar mengatakan bahwa who menawarkan suap $ 20 juta untuk meracuni obat covid-19. obat herbal bernama covid-19 organics berbahan artemisia ini bisa menyembuhkan pasien #coronavirus dalam waktu sepuluh hari, kata presiden.<links>",1,en
"presiden madagaskar menuduh who merencanakan untuk meracuni organik covid-19, 'obat' lokal afrika untuk #coronavirus. dia mengklaim who menawarkan suap $ 20 juta untuk meracuni obat mereka, tanzania perspective melaporkan di halaman depan edisi 14 mei.<links>",1,en
