text,label,lang
"कॉरोना वायरस फेफड़ों में जाने से पहले तीन-चार दिन तक गले में रहता है...

उससे खांसी व कफ की शिकायत भी रहती है...

ऐसी स्थिति में अगर गर्म पानी में नमक डालकर गरारे किए जाएं...

और नींबू का सेवन किया जाए तो इस बीमारी से बचा जा सकता है...

और अनेकों जिंदगी बच सकती है।

🕉️👋🌷🌹💐🌴 https://t.co/UoIlydCI6a",misinformation,hi
"Antes de llegar a los pulmones dura 4 días en la garganta, en ese punto la persona infectadas empiezan a toser y a tener dolor de garganta. Deben tomar mucha agua y hacer gárgaras de agua tibia con sal o vinagre esto eliminará el CORONAVIRUS retuitear pues pueden salvar alguien. https://t.co/Z7EUDqcAlJ",misinformation,es
"మంచి వార్త!  కరోనా వైరస్ వ్యాక్సిన్ సిద్ధంగా ఉంది.  ఇంజెక్షన్ ఇచ్చిన 3 గంటలలోపు రోగిని నయం చేయగల సామర్థ్యం.  యుఎస్ సైంటిస్టులకు హ్యాట్స్ ఆఫ్.
 రోచె మెడికల్ కంపెనీ వచ్చే ఆదివారం వ్యాక్సిన్‌ను విడుదల చేయనున్నట్లు ప్రస్తుతం ట్రంప్ ప్రకటించారు మరియు దాని నుండి మిలియన్ల మోతాదులు https://t.co/ZYx4rZHS3h",misinformation,te
"Great news! Carona virus vaccine ready. Able to cure patient within 3 hours after injection. Hats off to US Scientists.
Right now  Trump announced that Roche Medical Company will launch the vaccine next Sunday, and millions of doses are ready from it !!!
VIA: @wajih79273180 https://t.co/BZJCLtwuXq",misinformation,en
"మంచి వార్త!  కరోనా వైరస్ వ్యాక్సిన్ సిద్ధంగా ఉంది.  ఇంజెక్షన్ ఇచ్చిన 3 గంటలలోపు రోగిని నయం చేయగల సామర్థ్యం.  యుఎస్ సైంటిస్టులకు హ్యాట్స్ ఆఫ్.
 రోచె మెడికల్ కంపెనీ వచ్చే ఆదివారం వ్యాక్సిన్‌ను విడుదల చేయనున్నట్లు ప్రస్తుతం ట్రంప్ ప్రకటించారు మరియు దాని నుండి మిలియన్ల మోతాదులు https://t.co/ZYx4rZHS3h",misinformation,te
LO ÚLTIMO | Finlandia confirma un primer caso de contagio con el coronavirus https://t.co/dxrGaj9jJJ,misinformation,es
"นั่นไงล่ะ ผู้ติดเชื้อโผล่ที่ฝรั่งเศสแล้วนะ 2 ราย #ไวรัสโคโรนา  #ไวรัสโคโรน่า  #ไวรัสอู่ฮั่น  #ไวรัสโคโรนาสายพันธุ์ใหม่  #ไวรัสสายพันธุ์ใหม่  #ไวรัส 

https://t.co/aJ9UNwjdj4",misinformation,th
"พบผู้ป่วย #coronavirus เพิ่มที่ ฝรั่งเศส จำนวน 2 ราย เป็นชาวฝรั่งเศสที่เดินทางไปเที่ยวจีนมา 

https://t.co/fm1C2Vj3EM https://t.co/GeKMpPmnjY",misinformation,th
#Coronavirus : le cas de #Bordeaux confirmé. Un second cas confirmé à Paris (MàJ) https://t.co/jELSmIupqt https://t.co/7PSb1w35yJ,misinformation,fr
Коронавірус: в Україні підтвердили нові випадки захворювання https://t.co/UKk8KUfTUW https://t.co/4kYpmYGyf1,misinformation,uk
#Coronavirus : un troisième cas confirmé en France (MàJ) https://t.co/jELSmIupqt https://t.co/Vh3YZOjSzT,misinformation,fr
Itália confirma seus dois primeiros casos do novo coronavírus no país https://t.co/4JZalln6Px,misinformation,pt
CDC confirms first case of coronavirus that spread within US https://t.co/8jl9X0PtIM https://t.co/ZvMUdugvQP,misinformation,en
Primer caso de coronavirus en la Argentina https://t.co/BEhDqQQamC,misinformation,es
Notícia TVI: primeiro caso confirmado de um português com coronavírus https://t.co/xFKbkHp7yH,misinformation,pt
"BREAKING: The Chief Medical Officer of Health for Ontario says Canada has confirmed its first presumptive positive case of the new coronavirus.
https://t.co/CJjtrEq3cc",misinformation,en
Portugal - Confirmado primeiro caso de português com coronavírus https://t.co/0HazXHtEBb,misinformation,pt
Finlandia confirmó su primer caso de coronavirus #SeVaParaEscandinavia #Incontrolable #AlertaMundial #PánicoEnTodoElPlaneta #FrenenEsteBichoPorDios https://t.co/YtXBAJOe56,misinformation,es
