text,translated_text,translated_text_en,label,lang
"कॉरोना वायरस फेफड़ों में जाने से पहले तीन-चार दिन तक गले में रहता है...

उससे खांसी व कफ की शिकायत भी रहती है...

ऐसी स्थिति में अगर गर्म पानी में नमक डालकर गरारे किए जाएं...

और नींबू का सेवन किया जाए तो इस बीमारी से बचा जा सकता है...

और अनेकों जिंदगी बच सकती है।

🕉️👋🌷🌹💐🌴 https://t.co/UoIlydCI6a","Virus corona bertahan di tenggorokan selama tiga hingga empat hari sebelum masuk ke paru-paru.

Ia juga mengeluh batuk dan berdahak.

Dalam situasi seperti itu, jika kumur dilakukan dengan menambahkan garam ke air panas ...

Dan jika lemon dikonsumsi maka penyakit ini bisa dihindari.

Dan banyak nyawa bisa diselamatkan.

️👋🌷🌹💐🌴 https://t.co/UoIlydCI6a","The corona virus stays in the throat for three to four days before going to the lungs.

He also complains of cough and phlegm.

In such a situation, if gargles are done by adding salt to hot water...

And if lemon is consumed then this disease can be avoided.

And many lives could be saved.

️👋🌷🌹💐🌴 https://t.co/UoIlydCI6a",misinformation,hi
"Antes de llegar a los pulmones dura 4 días en la garganta, en ese punto la persona infectadas empiezan a toser y a tener dolor de garganta. Deben tomar mucha agua y hacer gárgaras de agua tibia con sal o vinagre esto eliminará el CORONAVIRUS retuitear pues pueden salvar alguien. https://t.co/Z7EUDqcAlJ","Sebelum mencapai paru-paru, itu berlangsung 4 hari di tenggorokan, di mana orang yang terinfeksi mulai batuk dan sakit tenggorokan. Mereka harus banyak minum air putih dan berkumur dengan air hangat dengan garam atau cuka, ini akan menghilangkan retweet CORONAVIRUS karena bisa menyelamatkan seseorang. https://t.co/Z7EUDqcAlJ","Before reaching the lungs, it lasts 4 days in the throat, at which point the infected person begins to cough and have a sore throat. They should drink a lot of water and gargle with warm water with salt or vinegar, this will eliminate the CORONAVIRUS retweet because they can save someone. https://t.co/Z7EUDqcAlJ",misinformation,es
"మంచి వార్త!  కరోనా వైరస్ వ్యాక్సిన్ సిద్ధంగా ఉంది.  ఇంజెక్షన్ ఇచ్చిన 3 గంటలలోపు రోగిని నయం చేయగల సామర్థ్యం.  యుఎస్ సైంటిస్టులకు హ్యాట్స్ ఆఫ్.
 రోచె మెడికల్ కంపెనీ వచ్చే ఆదివారం వ్యాక్సిన్‌ను విడుదల చేయనున్నట్లు ప్రస్తుతం ట్రంప్ ప్రకటించారు మరియు దాని నుండి మిలియన్ల మోతాదులు https://t.co/ZYx4rZHS3h","Kabar baik! Vaksin virus corona sudah siap. Kemampuan untuk menyembuhkan pasien dalam waktu 3 jam setelah injeksi. Angkat topi untuk para ilmuwan AS.
 Trump baru saja mengumumkan bahwa Roche Medical Company akan merilis vaksin Minggu depan dan jutaan dosis darinya https://t.co/ZYx4rZHS3h","Good news! Corona virus vaccine is ready. Ability to cure patient within 3 hours of injection. Hats off to US scientists.
 Trump just announced that Roche Medical Company will release the vaccine next Sunday and millions of doses from it https://t.co/ZYx4rZHS3h",misinformation,te
"Great news! Carona virus vaccine ready. Able to cure patient within 3 hours after injection. Hats off to US Scientists.
Right now  Trump announced that Roche Medical Company will launch the vaccine next Sunday, and millions of doses are ready from it !!!
VIA: @wajih79273180 https://t.co/BZJCLtwuXq","Kabar baik! Vaksin virus carona sudah siap. Mampu menyembuhkan pasien dalam waktu 3 jam setelah injeksi. Angkat topi untuk Ilmuwan AS.
Saat ini Trump mengumumkan bahwa Roche Medical Company akan meluncurkan vaksin pada hari Minggu depan, dan jutaan dosis sudah siap dari itu !!!
VIA: @wajih79273180 https://t.co/BZJCLtwuXq","Great news! Carona virus vaccine ready. Able to cure patient within 3 hours after injection. Hats off to US Scientists.
Right now  Trump announced that Roche Medical Company will launch the vaccine next Sunday, and millions of doses are ready from it !!!
VIA: @wajih79273180 https://t.co/BZJCLtwuXq",misinformation,en
"మంచి వార్త!  కరోనా వైరస్ వ్యాక్సిన్ సిద్ధంగా ఉంది.  ఇంజెక్షన్ ఇచ్చిన 3 గంటలలోపు రోగిని నయం చేయగల సామర్థ్యం.  యుఎస్ సైంటిస్టులకు హ్యాట్స్ ఆఫ్.
 రోచె మెడికల్ కంపెనీ వచ్చే ఆదివారం వ్యాక్సిన్‌ను విడుదల చేయనున్నట్లు ప్రస్తుతం ట్రంప్ ప్రకటించారు మరియు దాని నుండి మిలియన్ల మోతాదులు https://t.co/ZYx4rZHS3h","Kabar baik! Vaksin virus corona sudah siap. Kemampuan untuk menyembuhkan pasien dalam waktu 3 jam setelah injeksi. Angkat topi untuk para ilmuwan AS.
 Trump baru saja mengumumkan bahwa Roche Medical Company akan merilis vaksin Minggu depan dan jutaan dosis darinya https://t.co/ZYx4rZHS3h","Good news! Corona virus vaccine is ready. Ability to cure patient within 3 hours of injection. Hats off to US scientists.
 Trump just announced that Roche Medical Company will release the vaccine next Sunday and millions of doses from it https://t.co/ZYx4rZHS3h",misinformation,te
LO ÚLTIMO | Finlandia confirma un primer caso de contagio con el coronavirus https://t.co/dxrGaj9jJJ,TERBARU | Finlandia mengkonfirmasi kasus penularan pertama dengan coronavirus https://t.co/dxrGaj9jJJ,THE LATEST | Finland confirms a first case of contagion with the coronavirus https://t.co/dxrGaj9jJJ,misinformation,es
"นั่นไงล่ะ ผู้ติดเชื้อโผล่ที่ฝรั่งเศสแล้วนะ 2 ราย #ไวรัสโคโรนา  #ไวรัสโคโรน่า  #ไวรัสอู่ฮั่น  #ไวรัสโคโรนาสายพันธุ์ใหม่  #ไวรัสสายพันธุ์ใหม่  #ไวรัส 

https://t.co/aJ9UNwjdj4","Itu dia. 2 orang yang terinfeksi telah muncul di Prancis. #CoronaVirus #CoronaVirus #virus wuhan #virus corona baru #virus baru#virus

https://t.co/aJ9UNwjdj4","That's it. 2 infected people have surfaced in France. #CoronaVirus #CoronaVirus #wuhan virus #new coronavirus #new virus#virus

https://t.co/aJ9UNwjdj4",misinformation,th
"พบผู้ป่วย #coronavirus เพิ่มที่ ฝรั่งเศส จำนวน 2 ราย เป็นชาวฝรั่งเศสที่เดินทางไปเที่ยวจีนมา 

https://t.co/fm1C2Vj3EM https://t.co/GeKMpPmnjY","2 lagi kasus #coronavirus ditemukan di Prancis, warga negara Prancis yang telah bepergian ke China

https://t.co/fm1C2Vj3EM https://t.co/GeKMpPmnjY","2 more #coronavirus cases found in France, French nationals who have traveled to China

https://t.co/fm1C2Vj3EM https://t.co/GeKMpPmnjY",misinformation,th
#Coronavirus : le cas de #Bordeaux confirmé. Un second cas confirmé à Paris (MàJ) https://t.co/jELSmIupqt https://t.co/7PSb1w35yJ,#Coronavirus: kasus #Bordeaux dikonfirmasi. Kasus kedua yang dikonfirmasi di Paris (Pembaruan) https://t.co/jELSmIupqt https://t.co/7PSb1w35yJ,#Coronavirus: the case of #Bordeaux confirmed. A second confirmed case in Paris (Update) https://t.co/jELSmIupqt https://t.co/7PSb1w35yJ,misinformation,fr
Коронавірус: в Україні підтвердили нові випадки захворювання https://t.co/UKk8KUfTUW https://t.co/4kYpmYGyf1,Virus Corona: kasus baru penyakit ini telah dikonfirmasi di Ukraina https://t.co/UKk8KUfTUW https://t.co/4kYpmYGyf1,Corona virus: new cases of the disease have been confirmed in Ukraine https://t.co/UKk8KUfTUW https://t.co/4kYpmYGyf1,misinformation,uk
